司法院主管(含財團法人),,,,,,,,,,,,,
媒體政策及業務宣導執行情形表,,,,,,,,,,,,,
中華民國112年第二季,,,,,,,,,,,,,
,,,,,,,,,,,,單位：元,
機關名稱,宣導項目、標題及內容,標案/契約名稱,媒體類型,宣導期程,執行單位,預算來源,預算科目,執行金額,受委託廠商名稱,預期效益,刊登或託播對象,備註,
司法院,製作「行政訴訟原告篇」、「民事訴訟原告篇」、「民事訴訟被告篇」、「民事訴訟證人篇」及「勞動調解篇」、「刑事訴訟被害人篇」、「刑事訴訟被告篇」、「刑事訴訟證人篇」宣導影片-手語版本,司法院製作法院程序及訴訟權益系列宣導影片採購案,"網路媒體
電視媒體
素材製作",影片112年4月1日起,新聞及法治宣導處,總預算,一般行政,"410,000 ",飛豬影業有限公司,向需到法院開庭民眾廣為宣導,素材製作、司法院官網、Youtube、網路媒體、電視媒體,,
司法院,勞動事件法facebook互動廣告,司法院111年司法政策溝通採購案【111年度保留案】,網路媒體,112年4月28日至5月2日,新聞及法治宣導處,總預算,一般行政,"107,145 ",民視文化事業股份有限公司,向民眾廣為宣導,facebook,,
司法院,勞動事件法影音廣告投放,司法院111年司法政策溝通採購案【111年度保留案】,網路媒體,112年4月20日至5月3日,新聞及法治宣導處,總預算,一般行政,"707,620 ",民視文化事業股份有限公司,向民眾廣為宣導,包含但不限於youtube、google影音聯播網、line等平台,,
司法院,勞動事件法圖像廣告投放,司法院111年司法政策溝通採購案【111年度保留案】,網路媒體,112年4月20日至5月3日,新聞及法治宣導處,總預算,一般行政,"202,385 ",民視文化事業股份有限公司,向民眾廣為宣導,包含但不限於line、PTT、Mobile01、Baby Home、嬰兒與母親等平台,,
司法院,託播勞動事件法廣告(30秒),司法院111年司法政策溝通採購案【111年度保留案】,電視媒體,112年4月20日至5月3日,新聞及法治宣導處,總預算,一般行政,"1,063,820 ",民視文化事業股份有限公司,向民眾廣為宣導,TVBS新聞/TVBS、三立新聞/財經、民視新聞、東森新聞／財經,,
司法院,託播勞動事件篇(30秒)廣播廣告,司法院111年司法政策溝通採購案【111年度保留案】,廣播媒體,112年4月28日至5月2日,新聞及法治宣導處,總預算,一般行政,"184,048 ",民視文化事業股份有限公司,向民眾廣為宣導,家樂福量販/便利購賣場、大潤發量販賣場及全家便利商店廣播,,
司法院,勞動事件法podcast口播廣告,司法院111年司法政策溝通採購案【111年度保留案】,網路媒體,112年4月26、28日,新聞及法治宣導處,總預算,一般行政,0 ,民視文化事業股份有限公司,向民眾廣為宣導,人氣podcast節目：到底為什麼、艾美講,廠商回饋,
司法院,託播勞動事件法廣告(30秒),司法院111年司法政策溝通採購案【111年度保留案】,電視媒體,112年4月20日至5月3日,新聞及法治宣導處,總預算,一般行政,0 ,民視文化事業股份有限公司,向民眾廣為宣導,財經/商業頻道廣告(不指定頻道及託播時段),廠商回饋,
司法院,勞動事件法LBS圖像聯播廣告投放,司法院111年司法政策溝通採購案【111年度保留案】,網路媒體,112年4月20日至5月3日,新聞及法治宣導處,總預算,一般行政,0 ,民視文化事業股份有限公司,向民眾廣為宣導,以行動定位技術將廣告加強投放至全台金融商圈及商辦大樓區域，透過地域性廣告搭配行為分析技術，觸及目標族群。,廠商回饋,
司法院,勞動事件法圖像聯播網廣告投放,司法院111年司法政策溝通採購案【111年度保留案】,網路媒體,112年4月20日至5月3日,新聞及法治宣導處,總預算,一般行政,0 ,民視文化事業股份有限公司,向民眾廣為宣導,財經/論壇網站聯播網,廠商回饋,
司法院,託播「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」、「國民法官：吳念真市場篇」、「國民法官：吳念真小吃店篇」、「國民法官，其實我們都可以（30秒安心篇）」、「國民法官，其實我們都可以（30秒推薦篇）」影片廣告、「司法改革影片—司法改革影片—勞動事件篇 (30秒)」（各30秒）,無,電視媒體,112年4月20日至5月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,託播「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」,無,廣播媒體,112年4月1日至4月30日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,全國廣播電臺,行政院公益託播無收費,
司法院,託播「吳念真導演×國民法官廣播(30秒)、(60秒)、(盼望篇30秒)」、「張曼娟×國民法官廣播(30秒)」、「吳瑪麗×國民法官廣播(30秒)」、「許效舜×國民法官廣播(福州伯篇30秒)、(鐵獅玉玲瓏篇30秒)」、「訴訟外紛爭解決機制ADR篇(洪都拉斯)」、被害人保護及訴訟參與篇(文姿云)」、「勞動事件制度篇(洪都拉斯)」廣播廣告,112年度綜合性司法政策廣播媒體宣導案,廣播媒體,112年4月1日至11月30日,新聞及法治宣導處,總預算,一般行政,"951,050 ",內政部警政署警察廣播電臺,向民眾廣為宣導,警察廣播電臺全國治安交通網、臺北、臺中、宜蘭、花蓮、新竹、臺南、高雄、臺東分臺,,
司法院,製作【國民法官，決勝時刻】國民法官制度 x 統一7-ELEVEn獅｜制度宣傳影片完整版、精華版、形象短版、花絮版,國民法官制度簡介影音,"網路媒體
素材製作",影片112年4月起至授權期限屆滿,臺灣臺南地方法院,總預算,一般行政,"464,000 ",春成映像有限公司,向民眾廣為宣導,素材製作、司法院、臺灣臺南地方法院、統一獅Youtube,,
司法院,司法院LINE官方帳號2.0、FB、IG經營執行,司法院112年Line官方帳號2.0規劃執行暨社群輿情監測採購案,網路媒體,112年4月1日至12月31日,新聞及法治宣導處,總預算,一般行政,"2,250,000 ",潮網科技股份有限公司,賡續經營官方司法社群，藉由圖文、影音等內容之推播，建立良善雙向互動平台，推廣全民法治教育。,LINE、FB、IG社群平台,,
司法院,兒童及少年法律知識推廣,司法院112年兒童及少年多元法普推廣採購案,網路媒體,112年4月1日至11月30日,新聞及法治宣導處,總預算,一般行政,"940,000 ",遠見天下文化出版股份有限公司,強化與不同年齡層之社會對話，讓年輕世代提早具備法律知識及法治精神，與多元媒體相互結合，使法治教育向下扎根,網站、FB,,
司法院,法律人文講座網路直播,司法人文沙龍網路直播,網路媒體,112年4月29日至5月6日,新聞及法治宣導處,總預算,一般行政,"84,000 ",潮網科技股份有限公司,邀集法律人與跨域人士，進行議題與法律視角的對談，重新思考人生議題，期以建構不同思辨,Youtube、FB,,
司法院,託播「國民法官，其實我們都可以（30秒安心篇）」、「國民法官，其實我們都可以（30秒推薦篇）」影片廣告、「司法改革影片—ADR篇 (30秒)」,無,電視媒體,112年5月20日至6月19日,新聞及法治宣導處,無,無,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,製播法治教育電視節目20集及其電視宣傳、網路宣傳,「國民法官小教室」節目製播採購案,電視媒體、網路媒體,112年5月27日至12月31日,新聞及法治宣導處,總預算,一般行政,"7,380,000 ",三立電視股份有限公司,製播法治教育電視節目，加強託播國民法官制度內容，期以增進民眾對於新訴訟制度之認識。,三立新聞台、三立iNEWS、三立台灣臺、台視、MOD、Youtube、FB,,
司法院,製播司法Podcast「司事Law室」第三季16集及其宣傳,司法院112年司法聲音播客特輯暨數位行銷採購案,網路媒體,112年5月30日至12月31日,新聞及法治宣導處,總預算,一般行政,"1,185,000 ",話鹿學人有限公司,賡續錄製16集Podcast節目，邀請法官剖析生活法律問題，打造「可以聽的司法」，讓民眾進一步得到正確法律概念，傳遞法普知識。,網站、FB,,
司法院,宣傳「公民法治培力營」、「2023法律法遵科技黑客松競賽」及「2023年大專院校法律系辯論公開賽」等活動,法治教育綜合規劃執行採購案,網路媒體,112年5月6日至10月31日,新聞及法治宣導處,總預算,一般行政,"300,000 ",害喜影音綜藝有限公司,加強宣傳一系列以教師與學生主要對象之法治教育活動。,網站、FB,,
司法院,製播社群影片1支及其宣傳口播宣傳2次,司法院112年影音口播宣導勞務採購案,網路媒體,112年5月5日至7月31日,新聞及法治宣導處,總預算,一般行政,"149,000 ",安大風有限公司,以青少世代對於公共議題有興趣者為受眾，於青年關注之節目進行口播宣導，希冀結合網路媒體，擴大法治教育之面向。,FB、YT,,
司法院,製播法治教育短影音3支,司法院影音製作（加強宣導訴訟新制，並於社群平台推廣用）採購案,網路媒體,112年5月23日至12月31日,新聞及法治宣導處,總預算,一般行政,"96,000 ",陳緯僑,加強宣導訴訟新制，製作短影音於社群平台推廣。,IG,,
司法院,宣傳「大專校院法治教育創新行動方案競賽」活動,112年大專校院法治教育創新行動方案競賽採購案,網路媒體,112年5月1日至8月31日,新聞及法治宣導處,總預算,一般行政,"73,500 ",財團法人民間公民與法治教育基金會,推廣分眾法治系列活動，鼓勵大專學生主動關心司法議題，貼近社會脈動、分析現況與成因，轉化並提出實質的公民行動。,網站、FB,,
司法院,國民法官，其實我們都可以 （5分鐘完整版）；國民法官，其實我們都可以（30秒推薦篇）投放,"111年國民法官制度網路、平面、家外宣導案
後續擴充 【111年度保留案】",網路媒體,112年6月20日至6月26日,新聞及法治宣導處,總預算,一般行政," 435,750 ",三立電視股份有限公司,向民眾廣為宣導,自由時報、中時新聞網、聯合新聞網、ETToday,,
,Podcast節目《好味小姐開束縛我還你原形》國民法官口播宣導投放,,"網路媒體
廣播媒體",112年6月12日起,,,," 326,118 ",,,好味小姐腦波弱Facebook粉絲頁、各Podcast平臺,,
,YouTube 頻道《普通女子孫女》國民法官宣導影片投放,,網路媒體,112年6月21日起,,,," 212,240 ",,,YouTube,,
,國民法官，其實我們都可以30秒推薦篇影片+圖文Banner投放,,網路媒體,112年6月12日至6月25日,,,,0 ,,,三立新聞網,加值回饋,
司法院,宣傳「視讀司法影音巡迴講座」活動,司法院112年司法影音校園及社區巡迴講座規劃執行採購案,網路媒體,112年6月1日至12月14日,新聞及法治宣導處,總預算,一般行政," 200,000 ",舊視界文化藝術有限公司,以學生為傳播對象，並促進校園師生與偏鄉民眾皆能接觸司法，討論法律議題，奠定法治根基。,網站、FB,,
司法院,託播「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」「司法改革影片—被害人保護及訴訟參與篇 (30秒)」（各30秒）,無,電視媒體,112年6月20日至7月19日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費,
司法院,託播「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」,無,廣播媒體,112年6月1日至6月30日,新聞及法治宣導處,總預算,一般行政,0 ,行政院新聞傳播處,向民眾廣為宣導,全國廣播電臺,行政院公益託播無收費,
財團法人法律扶助基金會,逍遙法外講座活動、宣導影片等,"非採購標案
法扶臉書廣告(4-6月)",網路媒體,112年4月1日至6月30日,總會宣導處　,總預算,管理費用," 89,250 ",智媒體數位行銷有限公司,向民眾廣為宣導,Facebook影音廣告,,
財團法人法律扶助基金會,透過個案紀錄片的呈現方式，宣傳本會服務內容。,"非採購標案
個案紀錄片",網路媒體,112年4月1日至6月30日,總會宣導處　,總預算,管理費用," 427,800 ",奇妙時光電影有限公司,向民眾廣為宣導,Facebook影音廣告,,
填表說明：,,,,,,,,,,,,,
1.,本表係依預算法第62條之1規範，凡編列預算於平面媒體、廣播媒體、網路媒體(含社群媒體)及電視媒體辦理政策及業務宣導為填表範圍。,,,,,,,,,,,,
2.,「機關名稱」應包含國營事業、基金、財團法人，所稱之財團法人，係指政府捐助基金50％以上成立之財團法人。,,,,,,,,,,,,
3.,「標案/契約名稱」請填列政府電子採購網之「標案名稱」，倘為小額採購、行政委託及補助案件等無須刊登政府電子採購網者，則以辦理媒體政策及業務宣導相關文件（如契約等）之案名填列。,,,,,,,,,,,,
4.,「宣導期程」請依委託製播宣導之涵蓋期程，並針對季內刊登(播出)時間或次數填列，如109.10.1-109.12.31(涵蓋期程)；109.10.1、109.12.1(播出時間)或2次(刊登次數)。,,,,,,,,,,,,
5.,「執行單位」係指各機關或國營事業之內部業務承辦單位。,,,,,,,,,,,,
6.,「預算來源」請查填總預算、○○特別預算、國營事業、非營業特種基金或財團法人預算。,,,,,,,,,,,,
7.,「預算科目」屬總預算、特別預算及政事型特種基金請填至業務(工作)計畫；業權型基金填至損益表（收支餘絀表）3級科目（xx成本或xx費用）；財團法人填至收支營運表3級科目（xx支出或xx費用）。,,,,,,,,,,,,
8.,機關如有公益或廠商回饋免費廣告等補充說明，請列入備註欄表達。,,,,,,,,,,,,
